"","accession_nmb","pubjournal","pubauthor","pubtitle","pubdoi","location","lld1","lld2","lld3","lld4","ll1","ll2","ll3","ll4","ll5","ll6","latlonpos_nd2","lat1","lon1","lat2","lon2","declat","declon","smplyear","declat2","declon2","latlonpos3","smplyear2","loc.abbrv"
"1","AF293700","Mol. Phylogenet. Evol. 21 (2), 218-230 (2001)","['Podar,M.', 'Haddock,S.H.', 'Sogin,M.L.', 'Harbison,G.R.']","A molecular phylogenetic framework for the phylum Ctenophora using 18S rRNA genes",NA,"USA:WoodsHole","41.52","N","70.67","W",NA,NA,NA,NA,NA,NA,NA,41.52,-70.67,41.52,-70.67,41.52,-70.67,"2001",41.52,-70.67,"41.52; -70.67","2001","NWA"
"57","HM147266","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Maasholm","54.68","N","10.00","E",NA,NA,NA,NA,NA,NA,NA,54.68,10,54.68,10,54.68,10,"2010",54.68,10,"54.68; 10","2010","GKi"
"58","HM147265","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Helgoland","54.18","N","7.88","E",NA,NA,NA,NA,NA,NA,NA,54.18,7.88,54.18,7.88,54.18,7.88,"2010",54.18,7.88,"54.18; 7.88","2010","GHe"
"59","HM147264","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Helgoland","54.18","N","7.88","E","54","11","N","07","53","E","54 11 N 07 53 E ",54.1833333333333,7.88333333333333,54.18,7.88,54.1833333333333,7.88333333333333,"2010",54.183,7.883,"54.183; 7.883","2010","GHe"
"60","HM147263","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Helgoland","54.18","N","7.88","E","54","11","N","07","53","E","54 11 N 07 53 E ",54.1833333333333,7.88333333333333,54.18,7.88,54.1833333333333,7.88333333333333,"2010",54.183,7.883,"54.183; 7.883","2010","GHe"
"61","HM147262","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Helgoland","54.18","N","7.88","E","54","11","N","07","53","E","54 11 N 07 53 E ",54.1833333333333,7.88333333333333,54.18,7.88,54.1833333333333,7.88333333333333,"2010",54.183,7.883,"54.183; 7.883","2010","GHe"
"62","HM147261","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","BalticSea","55.18","N","15.53","E","55","11","N","15","32","E","55 11 N 15 32 E ",55.1833333333333,15.5333333333333,55.18,15.53,55.1833333333333,15.5333333333333,"2010",55.183,15.533,"55.183; 15.533","2010","B"
"63","HM147260","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","BalticSea","55.18","N","15.53","E","55","11","N","15","32","E","55 11 N 15 32 E ",55.1833333333333,15.5333333333333,55.18,15.53,55.1833333333333,15.5333333333333,"2010",55.183,15.533,"55.183; 15.533","2010","B"
"64","HM147259","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","BalticSea","55.18","N","15.53","E","55","11","N","15","32","E","55 11 N 15 32 E ",55.1833333333333,15.5333333333333,55.18,15.53,55.1833333333333,15.5333333333333,"2010",55.183,15.533,"55.183; 15.533","2010","B"
"65","HM147258","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","BalticSea","55.18","N","15.53","E","55","11","N","15","32","E","55 11 N 15 32 E ",55.1833333333333,15.5333333333333,55.18,15.53,55.1833333333333,15.5333333333333,"2010",55.183,15.533,"55.183; 15.533","2010","B"
"66","HM147257","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","USA:WoodsHole","41.52","N","70.67","W","41","31","N","70","40","W","41 31 N 70 40 W ",41.5166666666667,-70.6666666666667,41.52,-70.67,41.5166666666667,-70.6666666666667,"2010",41.517,-70.667,"41.517; -70.667","2010","NWA"
"67","EF175465","Aquat. Invasions (2007) In press","['Faasse,M.A.', 'Bayha,K.M.']","The ctenophore Mnemiopsis leidyi in coastal waters of the Netherlands: an unrecognized invasion?",NA,"AtlanticOcean:NWAtlantic","38.53","N","70.60","W",NA,NA,NA,NA,NA,NA,NA,38.53,-70.6,38.53,-70.6,38.53,-70.6,"2007",38.53,-70.6,"38.53; -70.6","2007","NWA"
"68","EF175464","Aquat. Invasions (2007) In press","['Faasse,M.A.', 'Bayha,K.M.']","The ctenophore Mnemiopsis leidyi in coastal waters of the Netherlands: an unrecognized invasion?",NA,"AtlanticOcean:NWAtlantic","38.53","N","70.60","W",NA,NA,NA,NA,NA,NA,NA,38.53,-70.6,38.53,-70.6,38.53,-70.6,"2007",38.53,-70.6,"38.53; -70.6","2007","NWA"
"69","EF175463","Aquat. Invasions (2007) In press","['Faasse,M.A.', 'Bayha,K.M.']","The ctenophore Mnemiopsis leidyi in coastal waters of the Netherlands: an unrecognized invasion?",NA,"Netherlands",NA,NA,NA,NA,"52","56","N","4","36","E","52 56 N 4 36 E",52.9333333333333,4.6,NA,NA,52.9333333333333,4.6,"2007",52.933,4.6,"52.933; 4.6","2007","NEA"
"70","OU817778","Submitted (11-OCT-2021) UIT, Hansine Hansens veg 18, 9019 Tromso, Norway","['Majaneva,S.']","Direct Submission",NA,"NEAtlantic",NA,NA,NA,NA,"57","57","N","7","57","E",NA,57.95,7.95,NA,NA,57.95,7.95,"2021",57.95,7.95,"57.95; 7.95","2021","NEA"
"71","OU817777","Submitted (11-OCT-2021) UIT, Hansine Hansens veg 18, 9019 Tromso, Norway","['Majaneva,S.']","Direct Submission",NA,"NEAtlantic",NA,NA,NA,NA,"57","57","N","7","57","E",NA,57.95,7.95,NA,NA,57.95,7.95,"2021",57.95,7.95,"57.95; 7.95","2021","NEA"
